"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"22911",578045.89921,2856646.14541,115606,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",7449.53906,344.205,578045.89921,2856646.14541
"23295",579871.27264,2857065.6256,117678,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",111802.57617,1481.5908,579871.27264,2857065.6256
"23557",575075.16875,2845439.33218,118737,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",701.15039,115.59581,575075.16875,2845439.33218
"23891",580779.47251,2857114.49971,124411,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",56161.93164,984.21624,580779.47251,2857114.49971
"23899",580761.68942,2856768.11147,124468,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",33297.64844,723.69064,580761.68942,2856768.11147
"24078",575961.17496,2845430.77949,123823,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",11844.73633,520.49855,575961.17496,2845430.77949
"24127",580780.61854,2853032.39254,125188,414,"Colleges and Universities, Including Research Centers, Public and Private.",9428.86328,617.05249,580780.61854,2853032.39254
"24400",580243.84706,2855261.01556,128281,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1835.6582,191.40753,580243.84706,2855261.01556
"24430",575808.8921,2845031.51596,127100,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",81941.85156,1398.95549,575808.8921,2845031.51596
"24433",575125.11836,2844202.06198,127119,414,"Colleges and Universities, Including Research Centers, Public and Private.",48928.9668,2644.62818,575125.11836,2844202.06198
"24553",581846.17974,2858956.48259,2029,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1807.13672,167.43207,581846.17974,2858956.48259
"24681",578557.64603,2857596.57494,7460,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",26191.77148,766.20378,578557.64603,2857596.57494
"24706",579673.84108,2858567.61872,5046,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1306.20703,139.27328,579673.84108,2858567.61872
"24780",580567.24935,2859247.02573,11315,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1784.00586,172.95919,580567.24935,2859247.02573
"24856",580534.21277,2859207.14131,13846,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",3023.44531,293.76625,580534.21277,2859207.14131
"24956",580653.01553,2858545.41926,19173,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2318.67578,192.9825,580653.01553,2858545.41926
"25119",580375.40486,2858991.12866,26413,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2511.98633,216.48055,580375.40486,2858991.12866
"25269",580157.50977,2858336.49473,32049,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",15453.36719,657.10544,580157.50977,2858336.49473
"25358",578090.42749,2857950.93477,34826,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",5863.18555,316.06052,578090.42749,2857950.93477
"25359",582059.74763,2859666.92502,34839,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",22476.0625,662.67165,582059.74763,2859666.92502
"25369",580865.60145,2859631.76838,37379,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2294.00586,190.13986,580865.60145,2859631.76838
"25375",581457.39549,2857629.36556,37880,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",22010.05664,589.24051,581457.39549,2857629.36556
"25519",581426.60662,2857760.64378,46490,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",5497.30078,291.44612,581426.60662,2857760.64378
"25556",580573.54213,2858928.32353,44152,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",3112.66602,324.46706,580573.54213,2858928.32353
"25564",580978.81446,2858287.28638,44644,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",7325.58008,362.62215,580978.81446,2858287.28638
"25720",581365.3364,2857626.44218,51562,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",626.00977,120.7802,581365.3364,2857626.44218
"25769",580619.90678,2859337.94166,55825,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",862.81836,132.83438,580619.90678,2859337.94166
"26027",579677.68195,2858488.91317,68098,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",4974.78516,336.84091,579677.68195,2858488.91317
"26068",581653.35924,2858623.1059,69723,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2432.74219,246.71225,581653.35924,2858623.1059
"26365",579576.87685,2858494.87521,82547,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",34033.64648,779.65322,579576.87685,2858494.87521
"26382",578682.88231,2857756.20613,86408,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",156655.62305,2056.95508,578682.88231,2857756.20613
"26499",581723.04509,2859851.75052,90397,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1557.98633,158.49918,581723.04509,2859851.75052
"26531",581158.1558,2858677.46922,91672,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",623.49219,110.13945,581158.1558,2858677.46922
"26578",578384.12737,2858001.77556,93775,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",12163.66797,465.70916,578384.12737,2858001.77556
"26634",580463.95948,2858109.42963,96348,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",4597.58398,295.74651,580463.95948,2858109.42963
"26831",581141.37558,2858712.0144,104576,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2007.07227,180.59221,581141.37558,2858712.0144
"26902",580627.66051,2858895.66953,109865,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",662.25391,113.62321,580627.66051,2858895.66953
"26923",579681.77331,2858411.19954,108814,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1266.25586,137.08446,579681.77331,2858411.19954
"26998",580116.36024,2858297.78548,113512,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",4362.72461,268.0259,580116.36024,2858297.78548
"27147",579932.91644,2857818.84932,120619,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1428.77148,151.9967,579932.91644,2857818.84932
