"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"1520",573719.97739,2850861.23248,29334,113,"Office Building.",1197.40625,143.25461,573719.97739,2850861.23248
"1527",576521.53026,2849884.48263,29523,113,"Office Building.",480.36719,89.72825,576521.53026,2849884.48263
"1529",576327.53272,2850411.27867,29557,113,"Office Building.",4236.78906,267.42546,576327.53272,2850411.27867
"1554",576213.57,2851452.99222,31007,113,"Office Building.",1974.72266,195.67555,576213.57,2851452.99222
"1659",575018.86665,2849676.8585,32220,113,"Office Building.",382.01562,107.52277,575018.86665,2849676.8585
"1674",569010.84228,2850159.84626,32562,113,"Office Building.",1979.45703,189.77979,569010.84228,2850159.84626
"1751",576322.41975,2850031.70471,36119,113,"Office Building.",1414.62695,149.6492,576322.41975,2850031.70471
"1799",573235.98235,2850413.07071,36867,113,"Office Building.",1129.52734,135.3111,573235.98235,2850413.07071
"1804",576982.7225,2851275.56819,35077,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",775.19727,126.93304,576982.7225,2851275.56819
"1822",573990.10966,2850374.02798,35382,113,"Office Building.",2639.12109,203.43153,573990.10966,2850374.02798
"1831",578073.74809,2848183.05379,35576,113,"Office Building.",11146.12109,619.74055,578073.74809,2848183.05379
"1880",576424.92385,2849871.70953,34581,113,"Office Building.",812.61719,127.88803,576424.92385,2849871.70953
"1884",573813.57092,2850908.44776,34601,113,"Office Building.",2391.99414,201.40386,573813.57092,2850908.44776
"1924",576346.39018,2847796.179,37495,113,"Office Building.",5535.89062,307.4719,576346.39018,2847796.179
"1932",573114.48817,2851151.83404,37652,113,"Office Building.",775.66992,114.5046,573114.48817,2851151.83404
"1933",576967.34505,2851275.0667,37675,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",823.77539,128.62993,576967.34505,2851275.0667
"1955",569289.82358,2849750.83294,39320,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",17389.39453,546.03207,569289.82358,2849750.83294
"1964",577765.66379,2850501.71329,39514,113,"Office Building.",1320.93945,186.62287,577765.66379,2850501.71329
"1967",571164.57539,2850231.00886,39526,113,"Office Building.",692.25391,112.94408,571164.57539,2850231.00886
"1986",576920.45047,2850432.20531,39758,113,"Office Building.",1224.94727,150.50672,576920.45047,2850432.20531
"1993",570848.46766,2851300.78256,39855,113,"Office Building.",60090.30859,1312.56659,570848.46766,2851300.78256
"2033",575748.61908,2849716.39241,40480,113,"Office Building.",8636.98633,448.45596,575748.61908,2849716.39241
"2050",573059.86765,2850403.19075,40765,113,"Office Building.",1034.37891,129.52211,573059.86765,2850403.19075
"2067",577907.82976,2849909.85754,41065,113,"Office Building.",445.78906,97.59018,577907.82976,2849909.85754
"2105",577551.33846,2850573.87946,41764,113,"Office Building.",1975.82227,184.34649,577551.33846,2850573.87946
"2123",573845.63308,2851157.0165,38014,113,"Office Building.",2299.41602,202.34433,573845.63308,2851157.0165
"2125",576343.3586,2849652.42653,38048,113,"Office Building.",3277.125,226.3652,576343.3586,2849652.42653
"2133",576856.89006,2849688.60286,38198,113,"Office Building.",597.65234,110.83488,576856.89006,2849688.60286
"2213",573756.8903,2850721.27362,42818,113,"Office Building.",1816.375,205.54609,573756.8903,2850721.27362
"2238",577345.74084,2851345.04617,43180,113,"Office Building.",906.91797,118.68497,577345.74084,2851345.04617
