"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"7703",579069.86545,2851023.92514,23700,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",6468.41992,330.70813,579069.86545,2851023.92514
"7873",579188.70733,2852877.8975,28902,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",24260.74023,644.69426,579188.70733,2852877.8975
"8246",578209.59424,2850965.98897,39903,115,"Sports Stadiums, Arenas, and Tracks.",18112.10547,803.95985,578209.59424,2850965.98897
"8355",577651.49917,2854538.77758,42075,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",6717.21484,390.11656,577651.49917,2854538.77758
"8403",576731.25184,2853261.18629,43698,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",2402.92188,196.09006,576731.25184,2853261.18629
"8439",579347.53828,2852580.29323,46711,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",7193.30664,377.95493,579347.53828,2852580.29323
"8544",578747.86739,2852428.04056,47236,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",10160.47852,536.25157,578747.86739,2852428.04056
"9069",579089.05497,2853791.70275,61929,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",9284.28516,381.97705,579089.05497,2853791.70275
"9159",578931.25175,2852597.26941,64559,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",206609.43164,3286.24825,578931.25175,2852597.26941
"9594",576427.29285,2853056.81163,76947,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1564.07031,157.02078,576427.29285,2853056.81163
"9868",579370.47336,2852378.30669,82852,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1527.60156,159.7336,579370.47336,2852378.30669
"9917",578481.82777,2852665.97551,85006,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",122694.97266,1392.86804,578481.82777,2852665.97551
"9966",578490.6244,2852317.4419,88390,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",102485.90039,2408.28224,578490.6244,2852317.4419
"10002",579213.00686,2853811.63066,87402,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",3180.67969,224.4391,579213.00686,2853811.63066
"10169",579229.07894,2852516.93501,92542,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",27413.05469,884.98673,579229.07894,2852516.93501
"10193",579106.66576,2850920.89827,93122,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",5877.06055,316.31945,579106.66576,2850920.89827
"10197",578765.70396,2852293.33773,93172,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",29889,724.22191,578765.70396,2852293.33773
"10391",577964.38751,2854651.62351,100102,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",600.27344,101.68479,577964.38751,2854651.62351
"10449",579012.73344,2852926.77281,99417,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",20093.54688,613.92517,579012.73344,2852926.77281
"10738",578041.6579,2854667.18038,108254,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",6838.8418,463.70427,578041.6579,2854667.18038
"10912",579239.96769,2853207.2055,112252,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",2210.85547,187.343,579239.96769,2853207.2055
"12127",579235.52368,2849729.52783,4691,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",0.18164,102.09312,579235.52368,2849729.52783
"12276",579939.72302,2851798.81329,12195,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",11325.04297,435.13561,579939.72302,2851798.81329
"12279",578419.28609,2850493.0221,12268,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",303.80664,90.84911,578419.28609,2850493.0221
"12377",580079.94649,2850220.63868,17268,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",3201.50391,238.6951,580079.94649,2850220.63868
"12435",578222.83987,2849732.8615,18658,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",907.85547,138.36044,578222.83987,2849732.8615
"12466",579456.60855,2850845.32337,20222,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",881.18359,136.93865,579456.60855,2850845.32337
"12503",578554.51441,2848113.92552,23254,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1451.89648,150.01433,578554.51441,2848113.92552
"12745",579581.13573,2849757.74385,35551,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",7423.94727,367.22214,579581.13573,2849757.74385
"13287",579646.63961,2850708.06366,63002,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",761.07227,126.379,579646.63961,2850708.06366
"13378",580421.40829,2851607.04551,66202,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",5307.38086,313.95103,580421.40829,2851607.04551
"13683",578535.4813,2850547.89849,84685,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1576.69727,160.42072,578535.4813,2850547.89849
"14044",580132.64175,2851187.54856,99691,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",3627.65625,291.09226,580132.64175,2851187.54856
"14149",578189.62977,2849853.12023,105897,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",0.04297,16.76844,578189.62977,2849853.12023
"14196",579916.13361,2851044.20706,108606,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",8641.0293,404.93762,579916.13361,2851044.20706
"14292",580115.35921,2851260.24415,112369,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",5091.78711,335.79004,580115.35921,2851260.24415
"14349",578743.01169,2848203.85431,116194,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",2566.51367,251.74966,578743.01169,2848203.85431
"14698",578775.34847,2848113.72456,124226,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",1879.58789,197.56075,578775.34847,2848113.72456
"14842",578665.63904,2850472.0085,125886,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",8961.70508,450.21262,578665.63904,2850472.0085
"15146",581209.81509,2854079.08589,810,430,"Hospitals, Nursing Homes and Adult Congregate Living Quarters.",1119.18164,133.84602,581209.81509,2854079.08589
"15305",576619.41683,2845568.73504,4876,420,"Cultural (auditoriums, convention centers, exhibition centers, museums, art galleries, libraries).",86935.125,1178.46974,576619.41683,2845568.73504
